Unnamed: 0,As of Date: 1/20/2024Current,9/30/2023,6/30/2023,3/31/2023,12/31/2022,Ticker,10/31/2023,7/31/2023,4/30/2023,1/31/2023,10/31/2022,As of Date: 1/19/2024Current,11/30/2023,8/31/2023,5/31/2023,2/28/2023,11/30/2022,0,1
Market Cap (intraday),96.82B,85.51B,79.08B,80.42B,91.56B,CB,,,,,,,,,,,,,
Enterprise Value,112.76B,100.75B,94.17B,96.23B,108.99B,CB,,,,,,,,,,,,,
Trailing P/E,13.89,14.83,15.37,15.47,15.37,CB,,,,,,,,,,,,,
Forward P/E,11.22,10.15,10.66,10.74,12.44,CB,,,,,,,,,,,,,
PEG Ratio (5 yr expected),0.71,0.70,0.73,3.47,4.01,CB,,,,,,,,,,,,,
Price/Sales (ttm),2.04,1.87,1.82,1.91,2.24,CB,,,,,,,,,,,,,
Price/Book (mrq),1.85,1.61,1.49,1.59,1.92,CB,,,,,,,,,,,,,
Enterprise Value/Revenue,2.33,7.25,7.97,8.72,9.41,CB,,,,,,,,,,,,,
Enterprise Value/EBITDA,,,,,,CB,,,,,,,,,,,,,
Market Cap (intraday),88.39B,84.67B,82.97B,75.71B,101.30B,CI,,,,,,,,,,,,,
Enterprise Value,111.03B,107.82B,107.58B,100.88B,125.80B,CI,,,,,,,,,,,,,
Trailing P/E,17.04,13.10,12.87,12.00,15.91,CI,,,,,,,,,,,,,
Forward P/E,10.66,10.11,11.40,10.34,13.39,CI,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.00,0.95,1.02,0.94,1.20,CI,,,,,,,,,,,,,
Price/Sales (ttm),0.48,0.46,0.47,0.44,0.59,CI,,,,,,,,,,,,,
Price/Book (mrq),1.93,1.85,1.86,1.69,2.20,CI,,,,,,,,,,,,,
Enterprise Value/Revenue,0.58,2.20,2.21,2.17,2.75,CI,,,,,,,,,,,,,
Enterprise Value/EBITDA,,,,,,CI,,,,,,,,,,,,,
Market Cap (intraday),78.92B,,,,,SNPS,71.38B,68.73B,56.55B,53.90B,44.58B,,,,,,,,
Enterprise Value,78.02B,,,,,SNPS,70.23B,67.72B,55.94B,53.00B,43.72B,,,,,,,,
Trailing P/E,65.34,,,,,SNPS,70.49,76.32,61.38,56.24,44.46,,,,,,,,
Forward P/E,38.76,,,,,SNPS,37.45,38.76,35.09,35.71,29.50,,,,,,,,
PEG Ratio (5 yr expected),2.37,,,,,SNPS,2.12,2.57,2.36,2.00,1.66,,,,,,,,
Price/Sales (ttm),13.75,,,,,SNPS,13.20,13.29,11.19,10.89,9.27,,,,,,,,
Price/Book (mrq),12.84,,,,,SNPS,11.98,11.79,10.03,9.77,7.95,,,,,,,,
Enterprise Value/Revenue,13.35,,,,,SNPS,43.92,45.54,40.11,38.93,34.04,,,,,,,,
Enterprise Value/EBITDA,50.33,,,,,SNPS,147.23,176.03,159.14,157.36,161.20,,,,,,,,
Market Cap (intraday),89.28B,77.31B,79.12B,71.92B,66.27B,BSX,,,,,,,,,,,,,
Enterprise Value,97.62B,86.34B,87.91B,80.27B,74.87B,BSX,,,,,,,,,,,,,
Trailing P/E,74.32,88.00,91.68,111.18,112.85,BSX,,,,,,,,,,,,,
Forward P/E,27.17,23.58,27.70,26.18,23.81,BSX,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.90,1.64,2.02,2.22,2.48,BSX,,,,,,,,,,,,,
Price/Sales (ttm),6.45,5.70,5.98,5.68,5.29,BSX,,,,,,,,,,,,,
Price/Book (mrq),4.73,4.24,4.43,4.09,3.76,BSX,,,,,,,,,,,,,
Enterprise Value/Revenue,7.10,24.48,24.43,23.69,23.09,BSX,,,,,,,,,,,,,
Enterprise Value/EBITDA,29.43,88.46,110.72,101.10,99.30,BSX,,,,,,,,,,,,,
Market Cap (intraday),83.44B,68.86B,77.08B,69.97B,64.18B,FI,,,,,,,,,,,,,
Enterprise Value,106.14B,91.74B,98.56B,90.48B,84.66B,FI,,,,,,,,,,,,,
Trailing P/E,29.14,28.53,33.37,28.91,31.78,FI,,,,,,,,,,,,,
Forward P/E,16.23,13.37,17.15,15.34,13.77,FI,,,,,,,,,,,,,
PEG Ratio (5 yr expected),0.86,1.11,1.42,1.08,0.97,FI,,,,,,,,,,,,,
Price/Sales (ttm),4.62,3.88,4.46,4.13,3.81,FI,,,,,,,,,,,,,
Price/Book (mrq),2.82,2.27,2.56,2.27,2.10,FI,,,,,,,,,,,,,
Enterprise Value/Revenue,5.64,18.83,20.72,19.90,18.28,FI,,,,,,,,,,,,,
Enterprise Value/EBITDA,13.59,40.83,51.74,53.01,43.55,FI,,,,,,,,,,,,,
Market Cap (intraday),77.82B,65.59B,68.28B,57.97B,61.50B,SHW,,,,,,,,,,,,,
Enterprise Value,89.20B,77.72B,81.13B,70.28B,73.82B,SHW,,,,,,,,,,,,,
Trailing P/E,32.55,28.31,32.58,29.12,32.12,SHW,,,,,,,,,,,,,
Forward P/E,27.03,24.27,31.95,26.53,22.73,SHW,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.50,2.56,3.57,2.42,1.96,SHW,,,,,,,,,,,,,
Price/Sales (ttm),3.42,2.89,3.07,2.66,2.88,SHW,,,,,,,,,,,,,
Price/Book (mrq),20.59,17.98,21.56,18.69,23.65,SHW,,,,,,,,,,,,,
Enterprise Value/Revenue,3.87,12.71,13.00,12.91,14.11,SHW,,,,,,,,,,,,,
Enterprise Value/EBITDA,21.35,61.37,63.26,80.02,98.20,SHW,,,,,,,,,,,,,
Market Cap (intraday),83.33B,62.53B,66.33B,54.80B,53.43B,KLAC,,,,,,,,,,,,,
Enterprise Value,86.04B,65.35B,69.50B,58.16B,56.90B,KLAC,,,,,,,,,,,,,
Trailing P/E,27.41,18.99,19.75,16.41,17.01,KLAC,,,,,,,,,,,,,
Forward P/E,25.13,19.42,20.00,16.61,15.48,KLAC,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.47,2.57,2.08,1.78,1.74,KLAC,,,,,,,,,,,,,
Price/Sales (ttm),8.37,6.13,6.53,5.57,5.70,KLAC,,,,,,,,,,,,,
Price/Book (mrq),27.87,21.36,24.72,21.05,24.83,KLAC,,,,,,,,,,,,,
Enterprise Value/Revenue,8.46,27.26,29.51,23.91,19.07,KLAC,,,,,,,,,,,,,
Enterprise Value/EBITDA,20.09,63.54,72.86,59.33,43.08,KLAC,,,,,,,,,,,,,
Market Cap (intraday),75.20B,70.58B,76.61B,75.87B,77.74B,SO,,,,,,,,,,,,,
Enterprise Value,135.83B,130.85B,136.11B,133.09B,132.63B,SO,,,,,,,,,,,,,
Trailing P/E,25.16,23.03,22.81,21.34,22.60,SO,,,,,,,,,,,,,
Forward P/E,17.18,16.13,19.53,19.34,19.05,SO,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.58,3.09,3.31,3.33,2.93,SO,,,,,,,,,,,,,
Price/Sales (ttm),2.88,2.56,2.63,2.57,2.74,SO,,,,,,,,,,,,,
Price/Book (mrq),2.40,2.30,2.51,2.50,2.51,SO,,,,,,,,,,,,,
Enterprise Value/Revenue,5.17,18.75,23.68,20.54,18.82,SO,,,,,,,,,,,,,
Enterprise Value/EBITDA,13.11,36.23,49.78,49.09,101.47,SO,,,,,,,,,,,,,
Market Cap (intraday),76.88B,69.64B,75.65B,73.99B,67.67B,ITW,,,,,,,,,,,,,
Enterprise Value,83.96B,76.94B,82.88B,81.23B,74.53B,ITW,,,,,,,,,,,,,
Trailing P/E,24.81,22.80,25.04,24.92,25.15,ITW,,,,,,,,,,,,,
Forward P/E,24.39,21.93,25.97,25.58,23.92,ITW,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.82,2.52,3.08,3.20,2.26,ITW,,,,,,,,,,,,,
Price/Sales (ttm),4.85,4.40,4.82,4.75,4.40,ITW,,,,,,,,,,,,,
Price/Book (mrq),25.60,22.52,24.40,23.96,22.30,ITW,,,,,,,,,,,,,
Enterprise Value/Revenue,5.22,19.09,20.34,20.21,18.77,ITW,,,,,,,,,,,,,
Enterprise Value/EBITDA,18.00,65.37,73.35,75.14,58.41,ITW,,,,,,,,,,,,,
Market Cap (intraday),72.74B,72.03B,66.52B,68.74B,60.49B,CME,,,,,,,,,,,,,
Enterprise Value,73.76B,73.47B,68.28B,69.37B,61.71B,CME,,,,,,,,,,,,,
Trailing P/E,24.11,24.48,23.51,25.88,22.94,CME,,,,,,,,,,,,,
Forward P/E,21.55,21.93,21.19,23.09,20.20,CME,,,,,,,,,,,,,
PEG Ratio (5 yr expected),4.51,4.43,4.28,4.29,4.34,CME,,,,,,,,,,,,,
Price/Sales (ttm),13.58,13.73,13.01,13.70,12.18,CME,,,,,,,,,,,,,
Price/Book (mrq),2.58,2.59,2.43,2.56,2.14,CME,,,,,,,,,,,,,
Enterprise Value/Revenue,13.79,54.92,50.20,48.12,51.09,CME,,,,,,,,,,,,,
Enterprise Value/EBITDA,16.42,66.65,59.59,53.96,64.43,CME,,,,,,,,,,,,,
Market Cap (intraday),75.36B,67.95B,73.35B,67.43B,60.62B,EQIX,,,,,,,,,,,,,
Enterprise Value,90.38B,82.79B,87.72B,81.99B,74.14B,EQIX,,,,,,,,,,,,,
Trailing P/E,86.40,83.86,88.88,94.01,85.74,EQIX,,,,,,,,,,,,,
Forward P/E,71.43,66.23,82.64,74.07,67.57,EQIX,,,,,,,,,,,,,
PEG Ratio (5 yr expected),3.59,3.22,4.05,3.66,3.10,EQIX,,,,,,,,,,,,,
Price/Sales (ttm),9.45,8.74,9.62,9.12,8.43,EQIX,,,,,,,,,,,,,
Price/Book (mrq),6.34,5.67,6.10,5.86,5.44,EQIX,,,,,,,,,,,,,
Enterprise Value/Revenue,11.37,40.17,43.46,41.03,39.63,EQIX,,,,,,,,,,,,,
Enterprise Value/EBITDA,27.86,96.26,108.83,94.42,104.52,EQIX,,,,,,,,,,,,,
Market Cap (intraday),73.65B,68.02B,69.19B,74.38B,79.31B,DUK,,,,,,,,,,,,,
Enterprise Value,154.73B,148.43B,147.72B,152.15B,154.74B,DUK,,,,,,,,,,,,,
Trailing P/E,20.20,18.90,18.39,20.35,20.89,DUK,,,,,,,,,,,,,
Forward P/E,15.97,14.79,15.95,17.15,18.12,DUK,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.43,2.42,2.70,3.01,3.61,DUK,,,,,,,,,,,,,
Price/Sales (ttm),2.52,2.34,2.38,2.58,2.83,DUK,,,,,,,,,,,,,
Price/Book (mrq),1.57,1.47,1.46,1.57,1.64,DUK,,,,,,,,,,,,,
Enterprise Value/Revenue,5.30,18.57,22.46,20.91,21.05,DUK,,,,,,,,,,,,,
Enterprise Value/EBITDA,11.89,37.95,36.14,49.53,56.35,DUK,,,,,,,,,,,,,
Market Cap (intraday),70.91B,82.86B,69.81B,69.98B,75.81B,SLB,,,,,,,,,,,,,
Enterprise Value,78.88B,93.00B,80.14B,79.32B,85.55B,SLB,,,,,,,,,,,,,
Trailing P/E,17.06,21.36,18.33,20.54,25.83,SLB,,,,,,,,,,,,,
Forward P/E,13.72,16.00,16.08,16.67,18.80,SLB,,,,,,,,,,,,,
PEG Ratio (5 yr expected),0.94,1.10,1.06,1.12,0.76,SLB,,,,,,,,,,,,,
Price/Sales (ttm),2.16,2.69,2.37,2.51,2.91,SLB,,,,,,,,,,,,,
Price/Book (mrq),3.32,4.46,3.86,3.96,4.41,SLB,,,,,,,,,,,,,
Enterprise Value/Revenue,2.46,11.19,9.90,10.25,10.86,SLB,,,,,,,,,,,,,
Enterprise Value/EBITDA,10.57,44.22,40.46,43.08,55.59,SLB,,,,,,,,,,,,,
Market Cap (intraday),71.33B,74.62B,80.44B,79.70B,81.92B,MO,,,,,,,,,,,,,
Enterprise Value,94.89B,100.94B,101.92B,102.35B,105.73B,MO,,,,,,,,,,,,,
Trailing P/E,8.23,11.07,14.57,13.99,17.79,MO,,,,,,,,,,,,,
Forward P/E,8.10,8.22,9.20,8.92,9.22,MO,,,,,,,,,,,,,
PEG Ratio (5 yr expected),6.31,,,,,MO,,,,,,,,,,,,,
Price/Sales (ttm),3.50,3.64,3.94,3.89,4.01,MO,,,,,,,,,,,,,
Price/Book (mrq),,,,,,MO,,,,,,,,,,,,,
Enterprise Value/Revenue,4.62,19.13,18.74,21.49,20.80,MO,,,,,,,,,,,,,
Enterprise Value/EBITDA,7.77,30.96,32.61,37.08,34.52,MO,,,,,,,,,,,,,
Market Cap (intraday),79.48B,63.68B,63.74B,57.29B,44.07B,CDNS,,,,,,,,,,,,,
Enterprise Value,79.17B,63.46B,63.50B,57.29B,43.84B,CDNS,,,,,,,,,,,,,
Trailing P/E,83.23,71.87,74.93,67.99,56.36,CDNS,,,,,,,,,,,,,
Forward P/E,49.26,40.82,46.73,42.37,34.13,CDNS,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.85,3.01,3.53,3.25,2.01,CDNS,,,,,,,,,,,,,
Price/Sales (ttm),20.33,16.86,17.46,16.22,12.92,CDNS,,,,,,,,,,,,,
Price/Book (mrq),25.52,21.92,21.67,20.87,16.17,CDNS,,,,,,,,,,,,,
Enterprise Value/Revenue,20.19,62.02,65.02,56.08,48.72,CDNS,,,,,,,,,,,,,
Enterprise Value/EBITDA,60.48,183.28,186.12,157.51,170.08,CDNS,,,,,,,,,,,,,
Market Cap (intraday),81.98B,56.94B,50.13B,51.72B,37.08B,ANET,,,,,,,,,,,,,
Enterprise Value,77.57B,53.25B,46.86B,48.74B,34.15B,ANET,,,,,,,,,,,,,
Trailing P/E,43.85,34.00,33.76,39.31,33.16,ANET,,,,,,,,,,,,,
Forward P/E,35.59,26.53,27.93,29.24,22.08,ANET,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.97,1.50,1.68,1.76,1.02,ANET,,,,,,,,,,,,,
Price/Sales (ttm),14.90,11.03,10.53,12.12,9.81,ANET,,,,,,,,,,,,,
Price/Book (mrq),12.60,9.76,9.41,10.59,8.49,ANET,,,,,,,,,,,,,
Enterprise Value/Revenue,13.86,35.28,32.12,36.07,26.77,ANET,,,,,,,,,,,,,
Enterprise Value/EBITDA,35.91,85.93,85.45,96.42,70.20,ANET,,,,,,,,,,,,,
Market Cap (intraday),70.79B,58.00B,63.79B,56.15B,51.04B,MCO,,,,,,,,,,,,,
Enterprise Value,75.99B,63.34B,69.51B,62.16B,57.27B,MCO,,,,,,,,,,,,,
Trailing P/E,47.06,40.74,46.49,41.13,33.29,MCO,,,,,,,,,,,,,
Forward P/E,34.13,27.70,36.23,32.47,28.99,MCO,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.79,1.87,2.35,2.13,5.83,MCO,,,,,,,,,,,,,
Price/Sales (ttm),12.44,10.52,11.83,10.34,9.04,MCO,,,,,,,,,,,,,
Price/Book (mrq),22.19,18.40,22.07,22.29,22.64,MCO,,,,,,,,,,,,,
Enterprise Value/Revenue,13.27,43.03,46.53,42.28,44.39,MCO,,,,,,,,,,,,,
Enterprise Value/EBITDA,30.55,94.96,103.59,92.77,117.59,MCO,,,,,,,,,,,,,
Market Cap (intraday),74.29B,61.75B,70.21B,66.38B,64.40B,WM,,,,,,,,,,,,,
Enterprise Value,89.57B,76.97B,85.33B,81.01B,78.32B,WM,,,,,,,,,,,,,
Trailing P/E,32.65,27.42,31.76,30.27,29.16,WM,,,,,,,,,,,,,
Forward P/E,27.10,22.88,28.65,26.88,25.19,WM,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.66,2.39,2.96,2.91,2.49,WM,,,,,,,,,,,,,
Price/Sales (ttm),3.74,3.13,3.59,3.44,3.37,WM,,,,,,,,,,,,,
Price/Book (mrq),10.69,8.89,10.33,9.69,9.13,WM,,,,,,,,,,,,,
Enterprise Value/Revenue,4.45,14.81,16.67,16.56,15.87,WM,,,,,,,,,,,,,
Enterprise Value/EBITDA,16.02,50.71,58.64,61.32,60.39,WM,,,,,,,,,,,,,
Market Cap (intraday),12.68B,13.25B,15.60B,15.19B,14.27B,LKQ,,,,,,,,,,,,,
Enterprise Value,17.97B,16.67B,19.29B,18.85B,17.69B,LKQ,,,,,,,,,,,,,
Trailing P/E,13.27,13.17,13.91,13.78,12.72,LKQ,,,,,,,,,,,,,
Forward P/E,11.35,11.42,14.43,14.01,12.94,LKQ,,,,,,,,,,,,,
PEG Ratio (5 yr expected),8.34,6.04,6.22,6.04,0.38,LKQ,,,,,,,,,,,,,
Price/Sales (ttm),0.95,1.04,1.24,1.23,1.17,LKQ,,,,,,,,,,,,,
Price/Book (mrq),2.13,2.23,2.74,2.79,2.71,LKQ,,,,,,,,,,,,,
Enterprise Value/Revenue,1.34,4.67,5.59,5.63,5.89,LKQ,,,,,,,,,,,,,
Enterprise Value/EBITDA,10.28,40.76,37.74,40.79,48.33,LKQ,,,,,,,,,,,,,
Market Cap (intraday),12.20B,11.03B,15.00B,14.48B,12.94B,IPG,,,,,,,,,,,,,
Enterprise Value,15.21B,14.06B,17.80B,16.46B,15.78B,IPG,,,,,,,,,,,,,
Trailing P/E,13.33,11.94,16.77,15.71,13.22,IPG,,,,,,,,,,,,,
Forward P/E,10.91,9.99,14.35,13.89,13.59,IPG,,,,,,,,,,,,,
PEG Ratio (5 yr expected),3.29,2.89,3.57,3.40,16.19,IPG,,,,,,,,,,,,,
Price/Sales (ttm),1.14,1.03,1.39,1.35,1.22,IPG,,,,,,,,,,,,,
Price/Book (mrq),3.31,2.98,4.22,3.97,3.78,IPG,,,,,,,,,,,,,
Enterprise Value/Revenue,1.40,5.25,6.68,6.53,5.28,IPG,,,,,,,,,,,,,
Enterprise Value/EBITDA,9.03,30.28,43.60,57.10,29.31,IPG,,,,,,,,,,,,,
Market Cap (intraday),13.13B,13.74B,14.90B,16.85B,17.71B,RVTY,,,,,,,,,,,,,
Enterprise Value,15.72B,16.18B,16.95B,20.99B,21.86B,RVTY,,,,,,,,,,,,,
Trailing P/E,62.61,55.91,42.42,32.82,27.33,RVTY,,,,,,,,,,,,,
Forward P/E,23.26,19.68,23.87,26.39,21.98,RVTY,,,,,,,,,,,,,
PEG Ratio (5 yr expected),7.72,3.82,4.51,4.75,3.92,RVTY,,,,,,,,,,,,,
Price/Sales (ttm),4.78,4.92,4.97,5.09,3.67,RVTY,,,,,,,,,,,,,
Price/Book (mrq),1.71,1.75,1.85,2.28,2.51,RVTY,,,,,,,,,,,,,
Enterprise Value/Revenue,5.62,24.12,23.90,31.10,29.49,RVTY,,,,,,,,,,,,,
Enterprise Value/EBITDA,19.23,87.75,82.08,130.20,82.42,RVTY,,,,,,,,,,,,,
Market Cap (intraday),11.58B,10.76B,10.54B,10.43B,10.70B,REG,,,,,,,,,,,,,
Enterprise Value,16.04B,14.67B,14.42B,14.30B,14.49B,REG,,,,,,,,,,,,,
Trailing P/E,29.58,27.78,27.58,21.77,23.58,REG,,,,,,,,,,,,,
Forward P/E,29.41,27.93,30.30,29.67,28.90,REG,,,,,,,,,,,,,
PEG Ratio (5 yr expected),6.20,5.88,5.17,5.06,4.79,REG,,,,,,,,,,,,,
Price/Sales (ttm),8.50,8.15,8.57,8.59,8.90,REG,,,,,,,,,,,,,
Price/Book (mrq),1.69,1.81,1.74,1.71,1.74,REG,,,,,,,,,,,,,
Enterprise Value/Revenue,12.56,44.38,45.90,44.98,46.07,REG,,,,,,,,,,,,,
Enterprise Value/EBITDA,18.64,67.08,69.25,65.66,67.31,REG,,,,,,,,,,,,,
Market Cap (intraday),13.68B,11.83B,11.97B,11.74B,13.50B,VTRS,,,,,,,,,,,,,
Enterprise Value,30.74B,29.88B,30.32B,29.79B,32.77B,VTRS,,,,,,,,,,,,,
Trailing P/E,7.55,6.44,6.36,5.63,16.86,VTRS,,,,,,,,,,,,,
Forward P/E,4.01,3.46,3.47,3.33,3.46,VTRS,,,,,,,,,,,,,
PEG Ratio (5 yr expected),,,,,,VTRS,,,,,,,,,,,,,
Price/Sales (ttm),0.89,0.77,0.77,0.72,0.81,VTRS,,,,,,,,,,,,,
Price/Book (mrq),0.66,0.57,0.57,0.56,0.70,VTRS,,,,,,,,,,,,,
Enterprise Value/Revenue,1.99,7.58,7.74,7.99,8.46,VTRS,,,,,,,,,,,,,
Enterprise Value/EBITDA,5.06,24.43,26.06,24.83,13.18,VTRS,,,,,,,,,,,,,
Market Cap (intraday),12.12B,11.00B,12.20B,10.98B,12.81B,JKHY,,,,,,,,,,,,,
Enterprise Value,12.33B,11.27B,12.55B,11.23B,13.02B,JKHY,,,,,,,,,,,,,
Trailing P/E,33.62,30.11,35.01,31.27,34.97,JKHY,,,,,,,,,,,,,
Forward P/E,33.00,29.24,31.55,28.17,35.59,JKHY,,,,,,,,,,,,,
PEG Ratio (5 yr expected),3.35,3.03,3.18,2.84,3.19,JKHY,,,,,,,,,,,,,
Price/Sales (ttm),5.74,5.32,6.04,5.52,6.48,JKHY,,,,,,,,,,,,,
Price/Book (mrq),7.30,6.84,7.93,7.27,8.77,JKHY,,,,,,,,,,,,,
Enterprise Value/Revenue,5.82,19.72,23.47,22.09,25.77,JKHY,,,,,,,,,,,,,
Enterprise Value/EBITDA,18.12,60.35,70.58,70.45,83.08,JKHY,,,,,,,,,,,,,
Market Cap (intraday),10.49B,11.83B,11.63B,15.24B,14.94B,MOS,,,,,,,,,,,,,
Enterprise Value,13.78B,15.04B,15.61B,18.31B,18.59B,MOS,,,,,,,,,,,,,
Trailing P/E,8.13,5.56,4.29,4.56,4.28,MOS,,,,,,,,,,,,,
Forward P/E,10.38,11.57,7.31,6.30,4.59,MOS,,,,,,,,,,,,,
PEG Ratio (5 yr expected),,,,,,MOS,,,,,,,,,,,,,
Price/Sales (ttm),0.72,0.72,0.65,0.85,0.86,MOS,,,,,,,,,,,,,
Price/Book (mrq),0.87,0.94,0.98,1.26,1.28,MOS,,,,,,,,,,,,,
Enterprise Value/Revenue,0.92,4.24,4.60,5.08,4.15,MOS,,,,,,,,,,,,,
Enterprise Value/EBITDA,4.93,57.75,20.38,22.43,19.49,MOS,,,,,,,,,,,,,
Market Cap (intraday),11.12B,10.77B,12.87B,11.67B,13.01B,TECH,,,,,,,,,,,,,
Enterprise Value,11.52B,11.02B,13.19B,11.77B,13.15B,TECH,,,,,,,,,,,,,
Trailing P/E,46.26,38.68,48.66,46.15,46.37,TECH,,,,,,,,,,,,,
Forward P/E,37.04,35.71,34.72,31.85,40.32,TECH,,,,,,,,,,,,,
PEG Ratio (5 yr expected),,,,,,TECH,,,,,,,,,,,,,
Price/Sales (ttm),9.95,9.69,11.79,10.78,12.13,TECH,,,,,,,,,,,,,
Price/Book (mrq),5.57,5.48,6.81,6.39,7.44,TECH,,,,,,,,,,,,,
Enterprise Value/Revenue,10.07,39.80,43.76,40.00,48.41,TECH,,,,,,,,,,,,,
Enterprise Value/EBITDA,28.38,132.81,110.85,108.40,137.69,TECH,,,,,,,,,,,,,
Market Cap (intraday),10.92B,,,,,KMX,,,,,,,10.10B,12.96B,11.42B,10.91B,10.96B,,
Enterprise Value,29.80B,,,,,KMX,,,,,,,29.06B,31.94B,30.04B,29.01B,30.18B,,
Trailing P/E,22.09,,,,,KMX,,,,,,,22.36,28.07,23.83,19.28,13.96,,
Forward P/E,19.12,,,,,KMX,,,,,,,17.15,29.59,28.41,18.18,14.04,,
PEG Ratio (5 yr expected),0.85,,,,,KMX,,,,,,,0.74,1.27,2.18,1.39,0.98,,
Price/Sales (ttm),0.41,,,,,KMX,,,,,,,0.38,0.46,0.39,0.35,0.34,,
Price/Book (mrq),1.81,,,,,KMX,,,,,,,1.68,2.23,2.04,1.99,2.02,,
Enterprise Value/Revenue,1.12,,,,,KMX,,,,,,,4.73,4.52,3.91,5.07,4.64,,
Enterprise Value/EBITDA,18.49,,,,,KMX,,,,,,,76.76,78.71,55.29,102.11,129.16,,
Market Cap (intraday),11.60B,9.23B,11.37B,11.90B,11.71B,TFX,,,,,,,,,,,,,
Enterprise Value,12.87B,10.65B,12.86B,13.44B,13.12B,TFX,,,,,,,,,,,,,
Trailing P/E,28.87,25.18,31.56,33.03,28.66,TFX,,,,,,,,,,,,,
Forward P/E,17.27,13.40,18.08,18.87,17.57,TFX,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.75,1.31,1.67,1.93,3.16,TFX,,,,,,,,,,,,,
Price/Sales (ttm),3.94,3.20,4.00,4.29,4.23,TFX,,,,,,,,,,,,,
Price/Book (mrq),2.69,2.19,2.77,2.96,3.01,TFX,,,,,,,,,,,,,
Enterprise Value/Revenue,4.35,14.27,17.30,18.90,17.31,TFX,,,,,,,,,,,,,
Enterprise Value/EBITDA,16.10,46.22,62.65,76.50,69.76,TFX,,,,,,,,,,,,,
Market Cap (intraday),11.59B,11.65B,13.42B,14.04B,14.44B,EVRG,,,,,,,,,,,,,
Enterprise Value,24.31B,24.52B,25.74B,26.05B,26.08B,EVRG,,,,,,,,,,,,,
Trailing P/E,17.04,15.41,17.39,18.69,18.19,EVRG,,,,,,,,,,,,,
Forward P/E,13.18,12.97,15.92,16.78,17.48,EVRG,,,,,,,,,,,,,
PEG Ratio (5 yr expected),,2.47,3.04,2.93,3.05,EVRG,,,,,,,,,,,,,
Price/Sales (ttm),2.07,2.00,2.27,2.40,2.54,EVRG,,,,,,,,,,,,,
Price/Book (mrq),1.19,1.22,1.41,1.48,1.50,EVRG,,,,,,,,,,,,,
Enterprise Value/Revenue,4.34,14.69,19.01,20.09,20.38,EVRG,,,,,,,,,,,,,
Enterprise Value/EBITDA,10.65,31.11,42.21,46.70,79.84,EVRG,,,,,,,,,,,,,
Market Cap (intraday),12.08B,9.95B,11.00B,10.45B,8.74B,AOS,,,,,,,,,,,,,
Enterprise Value,11.89B,9.77B,10.87B,10.34B,8.64B,AOS,,,,,,,,,,,,,
Trailing P/E,40.40,36.34,45.77,45.79,18.23,AOS,,,,,,,,,,,,,
Forward P/E,20.37,17.64,21.93,20.62,17.61,AOS,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.04,1.76,2.19,,1.76,AOS,,,,,,,,,,,,,
Price/Sales (ttm),3.25,2.71,3.00,2.87,2.36,AOS,,,,,,,,,,,,,
Price/Book (mrq),6.42,5.30,6.15,5.98,4.95,AOS,,,,,,,,,,,,,
Enterprise Value/Revenue,3.13,10.43,11.32,10.70,9.23,AOS,,,,,,,,,,,,,
Enterprise Value/EBITDA,29.30,49.32,46.80,53.16,-39.43,AOS,,,,,,,,,,,,,
Market Cap (intraday),10.58B,10.20B,11.30B,11.55B,11.14B,NI,,,,,,,,,,,,,
Enterprise Value,24.94B,23.82B,24.32B,24.55B,23.47B,NI,,,,,,,,,,,,,
Trailing P/E,17.07,17.14,18.61,16.45,17.81,NI,,,,,,,,,,,,,
Forward P/E,14.97,14.77,17.42,18.15,17.76,NI,,,,,,,,,,,,,
PEG Ratio (5 yr expected),3.18,2.04,2.41,2.48,1.90,NI,,,,,,,,,,,,,
Price/Sales (ttm),1.98,1.88,2.04,2.12,2.16,NI,,,,,,,,,,,,,
Price/Book (mrq),1.75,1.67,1.84,1.92,2.00,NI,,,,,,,,,,,,,
Enterprise Value/Revenue,4.31,23.19,22.31,12.49,13.77,NI,,,,,,,,,,,,,
Enterprise Value/EBITDA,11.40,53.86,60.19,33.20,38.94,NI,,,,,,,,,,,,,
Market Cap (intraday),11.17B,15.02B,18.62B,17.59B,17.96B,PAYC,,,,,,,,,,,,,
Enterprise Value,10.72B,14.52B,18.14B,17.22B,17.67B,PAYC,,,,,,,,,,,,,
Trailing P/E,33.15,47.66,60.38,62.81,72.17,PAYC,,,,,,,,,,,,,
Forward P/E,24.04,29.76,42.92,40.82,43.67,PAYC,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.25,1.34,1.88,1.79,1.70,PAYC,,,,,,,,,,,,,
